features,Coefficients
poly__Contacts_Count_12_mon^3 Dependent_count,0.353508242
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt^2,0.353263953
poly__Total_Trans_Amt^2 Total_Trans_Ct,-0.352429009
poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt,0.351963401
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal^2,-0.351022398
poly__Total_Trans_Amt^2 Total_Trans_Ct^2,-0.350778469
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count,0.350715919
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2,0.349528027
poly__Total_Relationship_Count Total_Revolving_Bal^3,0.349318354
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,0.348879658
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,0.347346191
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.347323943
poly__Contacts_Count_12_mon^2 Total_Relationship_Count^2,0.343424023
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct^2,-0.342183455
poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct^2,0.341926747
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.341529655
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt,-0.340172941
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.338452739
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.337320575
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.337214333
poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal^2,0.336704748
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count^2,0.336618068
poly__Months_Inactive_12_mon Total_Relationship_Count^2,0.336481424
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.336320837
poly__Avg_Utilization_Ratio Dependent_count^2 Total_Revolving_Bal,0.335489929
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.334379979
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.332770657
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.332606049
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1^2,0.33251616
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.33014642
poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal,0.32903398
