",features,Coefficients"
"585,poly__Contacts_Count_12_mon Dependent_count Total_Trans_Amt Total_Trans_Ct,-0.06875044332103489"
"81,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count,0.06888187685401143"
"756,poly__Dependent_count Total_Ct_Chng_Q4_Q1^3,0.06944009634170538"
"542,poly__Contacts_Count_12_mon^2 Total_Relationship_Count Total_Revolving_Bal,-0.06956568418826661"
"744,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.06993077369770336"
"236,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.07078813936841678"
"895,poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct^2,0.07121869371975098"
"397,poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Relationship_Count,0.07162528190320706"
"1001,remainder__Education_Level,0.07198739192455512"
"515,poly__Contacts_Count_12_mon^2 Dependent_count^2,0.07223189106742707"
"571,poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.07264632132742518"
"124,poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1,0.07541298146256209"
"187,poly__Dependent_count Total_Ct_Chng_Q4_Q1^2,0.07567410773791655"
"760,poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.07574125827935033"
"748,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.07588609127353689"
"560,poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.07605777961400968"
"825,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,0.07632704317091275"
"189,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.0776937949700188"
"25,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1,-0.07791617902065788"
"142,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal,0.07813583420012814"
"659,poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,0.0786552892942502"
"799,poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.07878596149956378"
"181,poly__Dependent_count Total_Amt_Chng_Q4_Q1^2,-0.07964078636875195"
"135,poly__Contacts_Count_12_mon Dependent_count Total_Revolving_Bal,0.0798495322520117"
"202,poly__Months_Inactive_12_mon^3,0.08038090967719219"
"17,poly__Avg_Utilization_Ratio Total_Relationship_Count,-0.08062572243250153"
"915,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal^2,-0.08065880291200406"
"666,poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Ct^2,-0.08069502786218312"
"990,poly__Total_Revolving_Bal^2 Total_Trans_Amt Total_Trans_Ct,-0.08073277247797458"
"403,poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.0807892788620748"
"768,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,-0.08086849176613126"
"738,poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.08127015679290883"
"112,poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Revolving_Bal,-0.08138151494745553"
"60,poly__Total_Revolving_Bal^2,0.08197805047922249"
"665,poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.08288211720268766"
"709,poly__Dependent_count Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,0.08292873424978019"
"695,poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.0831407934024625"
"317,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Revolving_Bal,-0.08472852170321864"
"401,poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1^2,0.08657628313366582"
"104,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.087848171665408"
"980,poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,0.08793929010474222"
"777,poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.08799231453767432"
"474,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,-0.08806029720258565"
"405,poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.08889075294777965"
"377,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal,-0.08910755110055936"
"754,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,-0.08929190448238893"
"796,poly__Months_Inactive_12_mon^3 Total_Trans_Amt,0.08946141509656676"
"942,poly__Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal Total_Trans_Ct,0.08959639061324715"
"172,poly__Dependent_count^2 Total_Trans_Amt,0.0896944843294276"
"218,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.08989453194522523"
"303,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Trans_Amt,-0.09037390504084401"
"835,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.09037558676496565"
"955,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct^2,0.0906478944718275"
"47,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.09150637280281528"
"173,poly__Dependent_count^2 Total_Trans_Ct,-0.09161579219155538"
"828,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.09299139200206719"
"539,poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.09316506666824682"
"393,poly__Avg_Utilization_Ratio Dependent_count^2 Total_Trans_Ct,-0.09345527229750346"
"827,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.09373781138471109"
"1002,remainder__Marital_Status,0.09413719032352191"
"440,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count^2,-0.09417699729234512"
"168,poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1,-0.09469581319434528"
"50,poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.09515256426600055"
"149,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.09532979243156521"
"328,poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.09536781498582797"
"385,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Ct^2,-0.09538745687079773"
"883,poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.09544453529801075"
"705,poly__Dependent_count^2 Total_Trans_Amt Total_Trans_Ct,-0.0955994600741104"
"178,poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal,-0.09564823313709891"
"734,poly__Dependent_count Months_Inactive_12_mon Total_Trans_Ct^2,-0.09656529160075333"
"855,poly__Months_Inactive_12_mon Total_Relationship_Count^3,0.0969522410296575"
"833,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.09721500653760726"
"588,poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,0.09885606363368768"
"948,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Trans_Amt,0.09945139618099783"
"636,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^3,0.10005989023624834"
"671,poly__Dependent_count^4,-0.10056446345881358"
"206,poly__Months_Inactive_12_mon^2 Total_Revolving_Bal,-0.1008436794887226"
"751,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.10091109806508398"
"809,poly__Months_Inactive_12_mon^2 Total_Relationship_Count^2,-0.10134168150848055"
"176,poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.10280207196962768"
"140,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.10294468980008686"
"293,poly__Avg_Utilization_Ratio^3 Total_Revolving_Bal,-0.10362403330190673"
"46,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.10371164658694396"
"193,poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal,0.10479817980211205"
"496,poly__Avg_Utilization_Ratio Total_Revolving_Bal^3,-0.10685583723571712"
"429,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2,-0.10833180232589029"
"255,poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.1087962535509761"
"899,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.10892263270927205"
